时间戳 = 1724636811.392000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.438000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.484000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.531000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.578000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.623000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.671000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.717000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.765000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.811000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.857000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.902000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.950000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.998000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.045000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.093000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.141000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.188000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.235000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.281000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.328000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.374000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.422000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.468000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.515000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.563000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.608000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.654000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.702000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.748000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.797000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.841000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.887000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.934000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636812.981000  方向盘角度 = -939  油门 = 32767  刹车 = 21065
时间戳 = 1724636813.027000  方向盘角度 = -938  油门 = 32767  刹车 = 21325
时间戳 = 1724636813.072000  方向盘角度 = -937  油门 = 32767  刹车 = 21325
时间戳 = 1724636813.120000  方向盘角度 = -930  油门 = 32767  刹车 = 21585
时间戳 = 1724636813.167000  方向盘角度 = -923  油门 = 32767  刹车 = 21325
时间戳 = 1724636813.214000  方向盘角度 = -912  油门 = 32767  刹车 = 21585
时间戳 = 1724636813.261000  方向盘角度 = -906  油门 = 32767  刹车 = 22365
时间戳 = 1724636813.309000  方向盘角度 = -900  油门 = 32767  刹车 = 22365
时间戳 = 1724636813.356000  方向盘角度 = -899  油门 = 32767  刹车 = 22625
时间戳 = 1724636813.404000  方向盘角度 = -899  油门 = 32767  刹车 = 22625
时间戳 = 1724636813.452000  方向盘角度 = -899  油门 = 32767  刹车 = 22105
时间戳 = 1724636813.498000  方向盘角度 = -899  油门 = 32767  刹车 = 20805
时间戳 = 1724636813.545000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.592000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.640000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.688000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.736000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.783000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.830000  方向盘角度 = -899  油门 = 32767  刹车 = 20285
时间戳 = 1724636813.877000  方向盘角度 = -899  油门 = 32767  刹车 = 21325
时间戳 = 1724636813.923000  方向盘角度 = -899  油门 = 32767  刹车 = 22365
时间戳 = 1724636813.969000  方向盘角度 = -899  油门 = 32767  刹车 = 23405
时间戳 = 1724636814.017000  方向盘角度 = -899  油门 = 32767  刹车 = 23665
时间戳 = 1724636814.065000  方向盘角度 = -899  油门 = 32767  刹车 = 24445
时间戳 = 1724636814.112000  方向盘角度 = -899  油门 = 32767  刹车 = 24966
时间戳 = 1724636814.159000  方向盘角度 = -899  油门 = 32767  刹车 = 25226
时间戳 = 1724636814.205000  方向盘角度 = -899  油门 = 32767  刹车 = 26266
时间戳 = 1724636814.252000  方向盘角度 = -897  油门 = 32767  刹车 = 27306
时间戳 = 1724636814.299000  方向盘角度 = -887  油门 = 32767  刹车 = 28086
时间戳 = 1724636814.344000  方向盘角度 = -885  油门 = 32767  刹车 = 28866
时间戳 = 1724636814.392000  方向盘角度 = -880  油门 = 32767  刹车 = 29906
时间戳 = 1724636814.440000  方向盘角度 = -878  油门 = 32767  刹车 = 30427
时间戳 = 1724636814.488000  方向盘角度 = -873  油门 = 32767  刹车 = 30687
时间戳 = 1724636814.535000  方向盘角度 = -871  油门 = 32767  刹车 = 30947
时间戳 = 1724636814.581000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.626000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.674000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.719000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.764000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.810000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.857000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.906000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.951000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636814.999000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.047000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.094000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.141000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.187000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.235000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.280000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.329000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.375000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.423000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.469000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.515000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.561000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
时间戳 = 1724636815.609000  方向盘角度 = -867  油门 = 32767  刹车 = 31467
